="rsp-5256401-00015149 rev. 1: Visualizzazione struttura"
=" Visualizza:ParserView"
, , , , ,
Level,Titolo,Nome,Contenuto,Stato,
7,Requirement00710604,="req-5256401-00710604","WHILE: 


	DILCStatus == ""Speed_Adapting_Right"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710619,="req-5256401-00710619","WHILE: 


	DILCStatus == ""Active_Left"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710620,="req-5256401-00710620","WHILE: 


	DILCStatus == ""Active_Right"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710623,="req-5256401-00710623","WHILE: 


	DILCStatus == ""Aborting_Left"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710628,="req-5256401-00710628","WHILE: 


	DILCStatus == ""Aborting_Right"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710636,="req-5256401-00710636","WHILE: 


	DILCStatus == ""Available_Idle"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710641,="req-5256401-00710641","WHILE: 


	DILCStatus == ""Standby"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
6,"Transitions to ""NotFitted"" State",="chp-5256401-00383596", ,In corso,
7,Requirement00710644,="req-5256401-00710644","WHERE: DILCFitmentStatus == ""FALSE""

WHILE: DILCStatus == ""Off""

WHEN: VehicleState == ""Comfort"" OR ""Running"" 

THEN:
DADC_JLR shall set DILCStatus to ""NotFitted""",In corso,
6,"Transitions to ""Disabled"" State",="chp-5256401-00383599", ,In corso,
7,Requirement00710665,="req-5256401-00710665","WHERE: DILCFitmentStatus == ""TRUE"" 

WHILE: 


	DILCStatus == ""Off"" AND
	DILCSetting == ""OFF"" 


WHEN: VehicleState == ""Comfort"" OR ""Running"" 

THEN
DADC_JLR shall set DILCStatus to ""Disabled""",In corso,
7,Requirement00710667,="req-5256401-00710667","WHILE:


	DILCStatus == ""Standby"" AND
	DILCSetting == ""ON""


WHEN: DILCSetting == ""OFF""

THEN:
DADC_JLR shall set DILCStatus to ""Disabled""",In corso,
7,Requirement00710670,="req-5256401-00710670","WHILE:


	DILCStatus == ""Available_Idle"" AND
	DILCSetting == ""ON""


WHEN: DILCSetting == ""OFF""

THEN:
DADC_JLR shall set DILCStatus to ""Disabled""",In corso,
7,Requirement00710674,="req-5256401-00710674","WHILE:


	DILCStatus == ""Unpermitted"" AND
	DILCSetting == ""ON""


WHEN: DILCSetting == ""OFF""

THEN:
DADC_JLR shall set DILCStatus to ""Disabled""",In corso,
7,Requirement00710677,="req-5256401-00710677","WHILE:


	DILCStatus == ""Fault"" AND
	DILCSetting == ""ON""


WHEN: DILCSetting == ""OFF""

THEN:
DADC_JLR shall set DILCStatus to ""Disabled""",In corso,
7,Requirement00710680,="req-5256401-00710680","WHILE:


	DILCStatus == ""Inoperable"" AND
	DILCSetting == ""ON""


WHEN: DILCSetting == ""OFF""

THEN:
DADC_JLR shall set DILCStatus to ""Disabled""",In corso,
6,"Transitions to ""Standby"" State",="chp-5256401-00383605", ,In corso,
7,Requirement00710683,="req-5256401-00710683","WHERE: DILCFitmentStatus == ""TRUE"" 

WHILE: 


	DILCStatus == ""Off"" AND
	DILCSetting == ""ON"" AND
	ALCVariantFitment == ( ""China"" OR ""USA"" OR ""Other"" ) AND
	LaneChangedODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	TopDriveStateNDAS == ( ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS"" ) AND
	LaneChangeAvailableNDAS == ""FALSE""



WHEN: VehicleState == ""Comfort"" OR ""Running"" 

THEN
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710689,="req-5256401-00710689","WHILE:


	DILCStatus == ""Inoperable"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeAvailableNDAS == ""FALSE""


WHEN: TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710701,="req-5256401-00710701","WHILE:


	DILCStatus == ""Available_Idle"" AND
	LaneChangeStarted == ""FALSE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeAvailableNDAS == ""TRUE"" 


WHEN: LaneChangeAvaialable == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710703,="req-5256401-00710703","WHILE: 


	DILCStatus == ""Active_Right"" AND
	LaneChangeAborted == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""FALSE""


WHEN: LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710704,="req-5256401-00710704","WHILE: 


	DILCStatus == ""Aborting_Right"" AND
	LaneChangeStarted == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""FALSE""


WHEN:  LaneChangeAborted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710708,="req-5256401-00710708","WHILE: 


	DILCStatus == ""Active_Left"" AND
	LaneChangeAborted == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""FALSE""


WHEN:  LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710741,="req-5256401-00710741","WHILE: 


	DILCStatus == ""Aborting_Left"" AND
	LaneChangeStarted == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""FALSE""


WHEN: LaneChangeAborted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710751,="req-5256401-00710751","WHILE:


	DILCStatus == ""Disabled"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeAvailableNDAS == ""FALSE""
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR  ""L2_PLUS_PLUS


WHEN: DILCSetting == ""ON""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710754,="req-5256401-00710754","WHERE: ALCVariantFitment == ""USA"" OR ""China"" OR ""Other""

WHILE: 


	DILCStatus == ""Unpermitted"" AND
	LaneChangeAvailableNDAS == ""FALSE""


WHEN: LaneChangeODD == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710766,="req-5256401-00710766","WHERE: ALCVariantFitment == ""ECE""

WHILE: 


	DILCStatus == ""Unpermitted"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeAvailableNDAS == ""FALSE""


WHEN: ConfirmDriverAction == ""Confirmed""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
7,Requirement00710775,="req-5256401-00710775","WHERE: ALCVariantFitment == ""USA"" OR ""China"" OR ""Other""

WHILE: 


	DILCStatus == ""Fault"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeAvailableNDAS == ""FALSE"" 


WHEN: LaneChangeFault == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Standby""",In corso,
6,"Transitions to ""Available_Idle"" State",="chp-5256401-00383617", ,In corso,
7,Requirement00710780,="req-5256401-00710780","WHERE: 


	DILCFitmentStatus == ""TRUE"" 
	ALCVariantFitment == ""China"" OR ""USA"" OR ""Other""


WHILE: 


	DILCStatus == ""Off"" AND
	DILCSetting == ""ON"" AND
	LaneChangedODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeAvailableNDAS == ""TRUE""
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""



WHEN: VehicleState == ""Comfort"" OR ""Running"" 

THEN
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710825,="req-5256401-00710825","WHILE:


	DILCStatus == ""Inoperable"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeAvailableNDAS == ""TRUE""


WHEN: TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710827,="req-5256401-00710827","WHILE: 


	DILCStatus == ""Active_Right"" AND
	LaneChangeAborted == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""TRUE""


WHEN:  LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710831,="req-5256401-00710831","WHILE: 


	DILCStatus == ""Aborting_Right"" AND
	LaneChangeAborted == ""TRUE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""TRUE""


WHEN:  LaneChangeAborted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710832,="req-5256401-00710832","WHILE: 


	DILCStatus == ""Active_Left"" AND
	LaneChangeAborted == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""TRUE""


WHEN:  LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710836,="req-5256401-00710836","WHILE: 


	DILCStatus == ""Aborting_Left"" AND
	LaneChangeStarted == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeAvailableNDAS == ""TRUE""


WHEN: LaneChangeAborted == ""FALSE""

THEN:

DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710840,="req-5256401-00710840","WHILE:


	DILCStatus == ""Disabled"" AND
	LaneChangeFault == ""FALSE"" AND
	LaneChangeODD == ""TRUE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeAvailableNDAS == ""TRUE""
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS) 


WHEN: DILCSetting == ""ON""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710845,="req-5256401-00710845","WHILE: DILCStatus == ""Speed_Adapting_Left""

WHEN:


	LaneChangeSpeedAdaptationActive == ""FALSE"" AND
	LaneChangeStarted == ""FALSE""


THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""
 ",In corso,
7,Requirement00710850,="req-5256401-00710850","WHILE: DILCStatus == ""Speed_Adapting_Right""

WHEN:


	LaneChangeSpeedAdaptationActive == ""FALSE"" AND
	LaneChangeStarted == ""FALSE""


THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""
 ",In corso,
7,Requirement00710855,="req-5256401-00710855","WHERE: ALCVariantFitment == ""USA"" OR ""China"" OR ""Other""

WHILE: 


	DILCStatus == ""Unpermitted"" AND
	LaneChangeAvailableNDAS == ""TRUE""


WHEN: LaneChangeODD == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710860,="req-5256401-00710860","WHERE: ALCVariantFitment == ""ECE""

WHILE: 


	DILCStatus == ""Unpermitted"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeAvailableNDAS == ""TRUE""


WHEN: ConfirmDriverAction == ""Confirmed""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710863,="req-5256401-00710863","WHERE: ALCVariantFitment == ""USA"" OR ""China"" OR ""Other""

WHILE: 


	DILCStatus == ""Fault"" AND
	LaneChangeODD == ""TRUE"" AND
	LaneChangeAvailableNDAS == ""TRUE"" 



WHEN: LaneChangeFault == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Available_Idle""",In corso,
7,Requirement00710868,="req-5256401-00710868","WHILE: DILCStatus == ""Standby"" AND

WHEN: LaneChangeAvaialableNDAS == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Availalbe_Idle""",In corso,
6,"Transitions to ""Speed_Adapting_Left"" State",="chp-5256401-00383629", ,In corso,
7,Requirement00710873,="req-5256401-00710873","WHILE:


	DILCStatus == ""Available_Idle"" AND
	LaneChangeDirection == ""Left"" AND
	LaneChangeSpeedAdaptationActive == ""TRUE""


WHEN: LaneChangeStarted == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Speed_Adapting_Left""",In corso,
6,"Transitions to ""Speed_Adapting_Right"" State",="chp-5256401-00383631", ,In corso,
7,Requirement00710879,="req-5256401-00710879","WHILE:


	DILCStatus == ""Available_Idle"" AND
	LaneChangeDirection == ""Right"" AND
	LaneChangeSpeedAdaptationActive == ""TRUE""


WHEN: LaneChangeStarted == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Speed_Adapting_Right""",In corso,
6,"Transitions to ""Active_Left"" State",="chp-5256401-00383632", ,In corso,
7,Requirement00710885,="req-5256401-00710885","WHILE:


	DILCStatus == ""Speed_Adapting_Left"" AND
	LaneChangeStarted == ""TRUE""


WHEN: LaneChangeSpeedAdaptationActive == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Active_Left""",In corso,
7,Requirement00710888,="req-5256401-00710888","WHILE:


	DILCStatus == ""Available_Idle"" AND
	LaneChangeDirection == ""Left"" AND
	LaneChangeSpeedAdaptationActive == ""FALSE""


WHEN: LaneChangeStarted == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Active_Left""",In corso,
6,"Transitions to ""Active_Right"" State",="chp-5256401-00383636", ,In corso,
7,Requirement00710890,="req-5256401-00710890","WHILE:


	DILCStatus == ""Speed_Adapting_Right"" AND
	LaneChangeStarted == ""TRUE""


WHEN: LaneChangeSpeedAdaptationActive == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Active_Right""",In corso,
7,Requirement00710891,="req-5256401-00710891","WHILE:


	DILCStatus == ""Available_Idle"" AND
	LaneChangeDirection == ""Right"" AND
	LaneChangeSpeedAdaptationActive == ""FALSE""


WHEN: LaneChangeStarted == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Active_Right""",In corso,
6,"Transitions to ""Aborting_Left"" State",="chp-5256401-00383637", ,In corso,
7,Requirement00710894,="req-5256401-00710894","WHILE: DILCStatus == ""Active_Left""

WHEN: LaneChangeAborted == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Aborting_Left""",In corso,
6,"Transitions to ""Aborting_Right"" State",="chp-5256401-00383638", ,In corso,
7,Requirement00710897,="req-5256401-00710897","WHILE: DILCStatus == ""Active_Right""

WHEN: LaneChangeAborted == ""TRUE""

THEN:
DADC_JLR shall set DILCStatus to ""Aborting_Right""",In corso,
6,"Transitions to ""Unpermitted"" State",="chp-5256401-00383662", ,In corso,
7,Requirement00711131,="req-5256401-00711131","WHILE: 


	DILCStatus == ""Aborting_Right"" AND
	LaneChangeStarted == ""FALSE"" AND
	LaneChangeODD == ""FALSE"" AND
	TopDriveStateNDAS == ""L2 OR == ""L2_PLUS"" OR ""L2_PLUS_PLUS


WHEN: LaneChangeAborted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711132,="req-5256401-00711132","WHILE: 


	DILCStatus == ""Active_Left"" AND
	LaneChangeAborted == ""FALSE"" AND
	LaneChangeODD == ""FALSE"" AND
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""


WHEN: LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711134,="req-5256401-00711134","WHILE: 


	DILCStatus == ""Aborting_Left"" AND
	LaneChangeStarted == ""FALSE"" AND
	LaneChangeODD == ""FALSE"" AND
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""


WHEN: LaneChangeAborted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711136,="req-5256401-00711136","
	WHERE: 



	DILCFitmentStatus == ""TRUE"" AND
	ALCVariantFitment == ""ECE""


WHILE: 


	DILCStatus == ""Off"" AND
	DILCSetting == ""TRUE"" AND
	LaneChangedODD == ""TRUE"" AND
	LaneChangeFault == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""


WHEN: VehicleState == ""Comfort"" OR ""Running"" 

THEN
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711137,="req-5256401-00711137","WHILE:


	DILCStatus == ""Fault"" AND
	( TopDriveStateNDAS != L2 AND
	TopDriveStateNDAS != L2_PLUS AND
	TopDriveStateNDAS != L2_PLUS_PLUS ) OR
	TrailerConnected == ""TRUE""


WHEN:
LaneChangeFault == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711139,="req-5256401-00711139","WHILE:


	DILCStatus == ""Inoperable"" AND
	LaneChangeODD == ""TRUE"" AND
	TrailerStatus == ""Connected"" AND
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""


WHEN:  TrailerStatus == ""NotConnected""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711143,="req-5256401-00711143","WHILE: 


	DILCStatus == ""Active_Right"" AND
	LaneChangeAborted == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeODD == ""FALSE"" AND
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""


WHEN: LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711148,="req-5256401-00711148","WHILE: DILCStatus == ""Available_Idle"" AND

WHEN: LaneChangeODD == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711151,="req-5256401-00711151","WHILE:


	DILCStatus == ""Speed_Adapting_Left"" AND
	LaneChangeODD == ""FALSE""


WHEN: LaneStarted== ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711153,="req-5256401-00711153","WHILE:


	DILCStatus == ""Speed_Adapting_Right"" AND
	LaneChangeODD == ""FALSE


WHEN: LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711155,="req-5256401-00711155","WHILE:


	DILCStatus == ""Unpermitted"" AND
	LaneChangeODD == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeFault == ""FALSE"" AND
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""



WHEN: DILCSetting == ""ON""

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711157,="req-5256401-00711157","WHILE:


	DILCStatus == ""Standby"" AND
	LaneChangeFault == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND 
	TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""


WHEN: LaneChangeODD == ""FALSE"" 

THEN:
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711161,="req-5256401-00711161","
WHILE:


	DILCStatus == ""Inoperable"" AND
	LaneChangeODD == ""FALSE"" AND
	TrailerStatus == ""NotConnected"" AND
	LaneChangeFault == ""FALSE""


WHEN: TopDriveStateNDAS == ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS"" 

THEN
DADC_JLR shall set DILCStatus to ""Unpermitted""",In corso,
6,"Transitions to ""Inoperable"" State",="chp-5256401-00383721", ,In corso,
7,Requirement00711120,="req-5256401-00711120","WHERE:  DILCFitmentStatus == ""TRUE"" 

WHILE: 


	DILCStatus == ""Off"" AND
	DILCSetting == ""ON"" AND
	( TrailerStatus == ""Connected"" OR
	( TopDriveStateNDAS != ""L2"" AND ""L2_PLUS"" AND ""L2_PLUS_PLUS"" ) )


WHEN: VehicleState == ""Comfort"" OR ""Running"" 

THEN

DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711229,="req-5256401-00711229","WHERE: 
_ DILCFitmentStatus == ""TRUE"" 

WHILE: 
_ DILCStatus == ""Off"" AND
_ DILCSetting == ""ON"" AND
_ ( LaneChangedODD == ""FALSE"" OR
_ TrailerStatus == ""Connected"" OR
_ (TopDriveStateNDAS == ""L2"" AND
_ TopDriveStateNDAS == ""L2_PLUS"" AND
_ TopDriveStateNDAS == ""L2_PLUS_PLUS"" ) )

WHEN:
_ VehicleState == ""Comfort"" OR
_ VehicleState == ""Running"" 

THEN
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711159,="req-5256401-00711159","WHILE:


	DILCStatus == ""Fault"" AND
	LaneChangeODD == ""FALSE"" 


WHEN: LaneChangeFault == ""FALSE""

THEN
DADC_JLR shal set DILCStatus to ""Unpermitted""",In corso,
7,Requirement00711230,="req-5256401-00711230","WHILE: DILCStatus == ""Unpermitted""


WHEN: TopDriveStateNDAS != ""L2"" AND ""L2_PLUS"" AND ""L2_PLUS_PLUS"" 

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711231,="req-5256401-00711231","WHILE: DILCStatus == ""Unpermitted""

WHEN: TrailerStatus == ""Connected""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable",In corso,
7,Requirement00711233,="req-5256401-00711233","WHILE: 


	DILCStatus == ""Active_Right"" AND
	LaneChangeAborted == ""FALSE"" AND
	TrailerStatus == ""Connected""


WHEN: LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711234,="req-5256401-00711234","WHILE: 


	DILCStatus == ""Aborting_Right"" AND
	LaneChangeStarted == ""FALSE"" AND
	TrailerStatus == ""Connected"" 


WHEN:  LaneChangeAborted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711236,="req-5256401-00711236","WHILE: 


	DILCStatus == ""Active_Left"" AND
	LaneChangeAborted == ""FALSE"" AND
	TrailerStatus == ""Connected""


WHEN: LaneChangeStarted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711238,="req-5256401-00711238","WHILE: 


	DILCStatus == ""Aborting_Left"" AND
	LaneChangeStarted == ""FALSE"" AND
	TrailerStatus == ""Connected""


WHEN:  LaneChangeAborted == ""FALSE""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""
 ",In corso,
7,Requirement00711239,="req-5256401-00711239","WHILE: DILCStatus == ""Active_Left"" AND

WHEN: TopDriveStateNDAS != ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711240,="req-5256401-00711240","WHILE: DILCStatus == ""Aborting_Left"" AND


WHEN: TopDriveStateNDAS != ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711242,="req-5256401-00711242","WHILE: DILCStatus == ""Active_Right"" AND


WHEN: TopDriveStateNDAS != ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperabl",In corso,
7,Requirement00711244,="req-5256401-00711244","WHILE: DILCStatus == ""Aborting_Right""

WHEN: TopDriveStateNDAS != ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711245,="req-5256401-00711245","WHILE: DILCStatus == ""Available_Idle"" 

WHEN: TopDriveStateNDAS != ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711246,="req-5256401-00711246","WHILE: DILCStatus == ""Speed_Adapting_Left""

WHEN: TopDriveStateNDAS != ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
7,Requirement00711248,="req-5256401-00711248","WHILE: DILCStatus == ""Speed_Adapting_Right"" 

WHEN: TopDriveStateNDAS != ""L2"" OR ""L2_PLUS"" OR ""L2_PLUS_PLUS""

THEN:
DADC_JLR shall set DILCStatus to ""Inoperable""",In corso,
