="rsp-5256401-00015149 rev. 1: Visualizzazione struttura"
=" Visualizza:ParserView"
, , , , ,
Level,Titolo,Nome,Contenuto,Stato,
6,="MTID-1242-V2 Revision1.0",="chp-5256401-00416448", ,In corso,
7,Requirement00783123,="req-5256401-00783123","WHEN

 MTID-1242-V2(""Assisted Lane Change cancelled, obstruction detected"")is requested to display, the CCCM shall be display it in the FDD message centre with following attributes, Otherwise it shall not display.

Type : Temporary Alert
Colour:  NA
Clearable: NA
New period: NA
Display ""OK to Clear"" : NA",In corso,
5,="MTID-1243",="chp-5256401-00416440", ,In corso,
6,="MTID-1243-V2 Revision1.0",="chp-5256401-00416447", ,In corso,
7,Requirement00783122,="req-5256401-00783122","WHEN

 MTID-1243-V2(""Assisted Lane Change cancelled due to fault in the system"")is requested to display, the CCCM shall be display it in the FDD message centre with following attributes, Otherwise it shall not display.

Type : Temporary Alert
Colour:  NA
Clearable: NA
New period: NA
Display ""OK to Clear"" : NA",In corso,
5,="MTID-1244",="chp-5256401-00416441", ,In corso,
6,="MTID-1244-V2 Revision1.0",="chp-5256401-00416446", ,In corso,
7,Requirement00783121,="req-5256401-00783121"," MTID-1244-V2(""Assisted Lane Change not available"")is requested to display, the CCCM shall be display it in the FDD message centre with following attributes, Otherwise it shall not display.

Type : Temporary Alert
Colour:  NA
Clearable: NA
New period: NA
Display ""OK to Clear"" : NA",In corso,
4,Audio Requirements,="chp-5256401-00374058", ,In corso,
5,="Alert Low Chime - Single",="req-5256401-00537189","WHEN

""ADASChimeRequest"" requests for a chime with following attributes:

Repeating : Single

Audio Type: Alert Low

Speaker : any requested Speaker

AND no higher prirority Chime is being played 

 

THEN

The Cockpit_Audio shall play the requested chime",Rilasciato,
5,="Information Chime - Single",="req-5256401-00583974","WHEN

""ADASChimeRequest"" requests for a chime with following attributes:

Repeating : Single 

Audio Type: Information

Speaker : any requested Speaker

AND no higher prirority Chime is being played 

 

THEN

The Cockpit_Audio shall play the requested chime",Congelato,
3,SSR,="chp-5256401-00417653", ,In corso,
4,Requirement00792171,="req-5256401-00792171",="WHENdwDIdegradationLaneChange = In FaultTHENSSR shall log the following data for a minimum of 1 data sample before & 1 sample after the event ALCVariantALCPersonalisationSettingsLaneChangeFaultConditionsLaneChangeODDL2MessageRequestLaneChangeUnavailableMessageRequestL2CombinediconRequestCruisePersonalisationMode (name TBC)dwGPSFrame.utcTimedwGPSFrame.latitudedwGPSFrame.longitudeWipeSpeedRainSensorAmbientLightValueRLSBDmsHowStatusDirectionIndSwitchPosVehicleSpeeddwDILaneChangeSettings.enabledReasonsdwDILaneChangeSettings.dilcRovPreconditionsStatusdwDITopDriveStatedwDILateralStateTypedwDILaneChangeState.leftUnavailabilitydwDILaneChangeState.rightUnavailabilitydwDIdegradationLaneChange ",In corso,
4,Requirement00787412,="req-5256401-00787412",="WHENdwDILaneChangeState.started = TrueANDdwDILateralStateType = In FaultTHENSSR shall log the following data for a minimum of [target1] s before & [target2] s after the event occured: ALCVariantALCPersonalisationSettingsLaneChangeFaultConditionsLaneChangeODDL2MessageRequestADASChimeRequestLaneChangeUnavailableMessageRequestLaneChangeCancelledMessageRequestL2CombinediconRequestCruisePersonalisationMode (name TBC)dwGPSFrame.utcTimedwGPSFrame.latitudedwGPSFrame.longitudeWipeSpeedRainSensorAmbientLightValueRLSBSteeringWheelAngleTorsionBarTorqueTorsionBarTorqueSignDmsHowStatusDirectionIndSwitchPosBrakeInputRodTravelPedalPosProVehicleSpeedA1A2dwDILaneChangeSettings.enabledReasonsdwDILaneChangeSettings.dilcRovPreconditionsStatusdwDITopDriveStatedwDILateralStateTypedwDILaneChangeState.leftUnavailabilitydwDILaneChangeState.rightUnavailabilitydwDILaneChangeState.starteddwDILaneChangeState.speedAdaptingdwDILaneChangeState.pushingLaterallydwDILaneChangeState.laneChangeWheelCrossingStatusdwDILaneChangeState.lateralCompletionFractiondwDILaneChangeState.abortStatusdwDILaneChangeState.aborted_reasondwDILaneChangeState.additonalAbortedReasondwDIdegradationLaneChangeDADCRdWhlAgReqDIRequestALC target1 = 10target2 = 5",In corso,
4,Requirement00787413,="req-5256401-00787413",="WHENdwDILaneChangeState.abortStatus = TrueTHENSSR shall log the following data for a minimum of [target1] s before & [target2] s after the event occured: ALCVariantALCPersonalisationSettingsDILCSettingsTrailerStatusHandsOffStageDirectionIndicatorLampStatusLaneChangeODDL2MessageRequestADASChimeRequestLaneChangeUnavailableMessageRequestLaneChangeCancelledMessageRequestL2CombinediconRequestL2ChimeRequestRoadTypeCruisePersonalisationMode (name TBC)dwGPSFrame.utcTimedwGPSFrame.latitudedwGPSFrame.longitudeWipeSpeedRainSensorAmbientLightValueRLSBSteeringWheelAngleTorsionBarTorqueTorsionBarTorqueSignDmsHowStatusDirectionIndSwitchPosBrakeInputRodTravelPedalPosProVehicleSpeedA1A2dwDILaneChangeSettings.dilcRovPreconditionsStatusdwDITopDriveStatedwDILateralStateTypedwDILaneChangeState.leftUnavailabilitydwDILaneChangeState.rightUnavailabilitydwDILaneChangeState.starteddwDILaneChangeState.speedAdaptingdwDILaneChangeState.pushingLaterallydwDILaneChangeState.laneChangeWheelCrossingStatusdwDILaneChangeState.lateralCompletionFractiondwDILaneChangeState.abortStatusdwDILaneChangeState.aborted_reasondwDILaneChangeState.additonalAbortedReasondwDILateralOutputs.egoLaneCurvaturedwDILateralRecorderSignals.objDistFrontdwDILateralRecorderSignals.objDistLeftFrontdwDILateralRecorderSignals.objDistRightFrontdwDILateralRecorderSignals.objDistReardwDILateralRecorderSignals.objDistLeftReardwDILateralRecorderSignals.objDistRightReardwDILateralRecorderSignals.objRelVelFrontdwDILateralRecorderSignals.objRelVelLeftFrontdwDILateralRecorderSignals.objRelVelRightFrontdwDILateralRecorderSignals.objRelVelReardwDILateralRecorderSignals.objRelVelLeftReardwDILateralRecorderSignals.objRelVelRightRearDADCRdWhlAgReqActRoadWheelAngValueDADCAxReqDIRequestALC target1 = 10target2 = 5 ",In corso,
4,Requirement00787414,="req-5256401-00787414",="WHENdwDILaneChangeState.started = TrueANDTorsionBarTorque > [target3] NmTHENSSR shall log the following data for a minimum of [target1] s before & [target2] s after the event occured: ALCVariantDILCSettingsCruisePersonalisationMode (name TBC)dwGPSFrame.utcTimedwGPSFrame.latitudedwGPSFrame.longitudeSteeringWheelAngleTorsionBarTorqueTorsionBarTorqueSignDmsHowStatusBrakeInputRodTravelPedalPosProVehicleSpeedA1A2dwDITopDriveStatedwDILateralStateTypedwDILaneChangeState.leftUnavailabilitydwDILaneChangeState.rightUnavailabilitydwDILaneChangeState.starteddwDILaneChangeState.speedAdaptingdwDILaneChangeState.pushingLaterallydwDILaneChangeState.laneChangeWheelCrossingStatusdwDILaneChangeState.lateralCompletionFractiondwDILaneChangeState.abortStatusdwDILaneChangeState.aborted_reasondwDILaneChangeState.additonalAbortedReasondwDILateralOutputs.distanceToLeftLaneBoundarydwDILateralOutputs.distanceToRightLaneBoundarydwDILateralOutputs.egoLaneCurvaturedwDILateralRecorderSignals.objDistFrontdwDILateralRecorderSignals.objDistLeftFrontdwDILateralRecorderSignals.objDistRightFrontdwDILateralRecorderSignals.objDistReardwDILateralRecorderSignals.objDistLeftReardwDILateralRecorderSignals.objDistRightReardwDILateralRecorderSignals.objRelVelFrontdwDILateralRecorderSignals.objRelVelLeftFrontdwDILateralRecorderSignals.objRelVelRightFrontdwDILateralRecorderSignals.objRelVelReardwDILateralRecorderSignals.objRelVelLeftReardwDILateralRecorderSignals.objRelVelRightRearADASLatCtrlGainLeftADASLatCtrlGainRightDADCRdWhlAgReqActRoadWheelAngValueDADCAxReqDIRequestALCADASStgSignalMixerLeftADASStgSignalMixerRight target1 = 10target2 = 5target3 = 0.75",In corso,
4,Requirement00787415,="req-5256401-00787415","WHENdwDILaneChangeState.started = TrueANDabs(A1) > [Target 3] m/s^2SSR shall log the following data for a minimum of [target1] s before & [target2] s after the event occured: ALCVariantDILCSettingsCruisePersonalisationMode (name TBC)dwGPSFrame.utcTimedwGPSFrame.latitudedwGPSFrame.longitudeSteeringWheelAngleTorsionBarTorqueTorsionBarTorqueSignDmsHowStatusBrakeInputRodTravelPedalPosProVehicleSpeedA1A2dwDITopDriveStatedwDILateralStateTypedwDILaneChangeState.leftUnavailabilitydwDILaneChangeState.rightUnavailabilitydwDILaneChangeState.starteddwDILaneChangeState.speedAdaptingdwDILaneChangeState.pushingLaterallydwDILaneChangeState.laneChangeWheelCrossingStatusdwDILaneChangeState.lateralCompletionFractiondwDILaneChangeState.abortStatusdwDILaneChangeState.aborted_reasondwDILaneChangeState.additonalAbortedReasondwDILateralOutputs.egoLaneCurvatureADASLatCtrlGainLeftADASLatCtrlGainRightDADCRdWhlAgReqActRoadWheelAngValueDADCAxReqDIRequestALCADASStgSignalMixerLeftADASStgSignalMixerRighttarget1 = 5target2 = 5target3 = 3.0 (when ALCVariant = 02, ECE R79)target3 = 3.5 (when ALCVariant = 06, DCAS)target3 = 4.0 (when ALCVariant = all other cases)  ",In corso,
4,Requirement00787416,="req-5256401-00787416",="WHENdwDILaneChangeState.started = TrueANDabs(diff(filtered(A1))) > [target 3] m/s^3THENSSR shall log the following data for a minimum of [target1] s before & [target2] s after the event occured:ALCVariantDILCSettingsCruisePersonalisationMode (name TBC)dwGPSFrame.utcTimedwGPSFrame.latitudedwGPSFrame.longitudeSteeringWheelAngleTorsionBarTorqueTorsionBarTorqueSignDmsHowStatusBrakeInputRodTravelPedalPosProVehicleSpeedA1A2dwDITopDriveStatedwDILateralStateTypedwDILaneChangeState.leftUnavailabilitydwDILaneChangeState.rightUnavailabilitydwDILaneChangeState.starteddwDILaneChangeState.speedAdaptingdwDILaneChangeState.pushingLaterallydwDILaneChangeState.laneChangeWheelCrossingStatusdwDILaneChangeState.lateralCompletionFractiondwDILaneChangeState.abortStatusdwDILaneChangeState.aborted_reasondwDILaneChangeState.additonalAbortedReasondwDILateralOutputs.egoLaneCurvatureADASLatCtrlGainLeftADASLatCtrlGainRightDADCRdWhlAgReqActRoadWheelAngValueDADCAxReqDIRequestALCADASStgSignalMixerLeftADASStgSignalMixerRight target1 = 5target2 = 5target3 = 5",In corso,
4,Requirement00792166,="req-5256401-00792166",="WHENActionInitiateLaneChange = TrueTHENSSR shall log the following data for a minimum of 1 data sample before & 1 sample after the event OdometerMasterValueALCVariantALCPersonalisationSettingsLaneChangeFaultConditionsDILCSettingsHandsOffStageLaneChangeODDL2CombinediconRequestRoadTypeCruisePersonalisationMode (name TBC)dwGPSFrame.utcTimedwGPSFrame.latitudedwGPSFrame.longitudeWipeSpeedRainSensorAmbientLightValueRLSBSteeringWheelAngleTorsionBarTorqueTorsionBarTorqueSignDmsHowStatusDirectionIndSwitchPosBrakeInputRodTravelPedalPosProVehicleSpeedA1A2dwDILaneChangeSettings.enabledReasonsdwDILaneChangeSettings.dilcRovPreconditionsStatusdwDITopDriveStatedwDILateralStateTypedwDILaneChangeState.leftUnavailabilitydwDILaneChangeState.rightUnavailabilitydwDILaneChangeState.abortStatusdwDILaneChangeState.aborted_reasondwDILaneChangeState.additonalAbortedReasondwDILaneChangeState.laneChangeOverrideReasondwDILateralOutputs.distanceToLeftLaneBoundarydwDILateralOutputs.distanceToRightLaneBoundarydwDILateralOutputs.egoLaneCurvaturedwDILateralRecorderSignals.objDistFront",In corso,
3,="[03 SYS][PID-11186] Manage Driver Initiated Lane Change Status",="chp-5256401-00381677", ,In corso,
4,Restraints,="chp-5256401-00381674", ,In corso,
5,="[PID-15488] Log DILC Status",="chp-5256401-00381675", ,In corso,
6,Comment00280410,="com-5256401-00280410",Records the state and timestamp of the AAD Assisted Lane Change,In corso,
6,Log Driver Initiated Lane Change Status,="req-5256401-00804239","The Restraints shall log and store the value of DILCStatus_Logging for the minimum previous [ALC_EDR_INTERVAL] w.r.t to any crash event with an accuracy of at least [ALC_EDR_SAMPLE_RATE] in Event Data Recorder:

[ALC_EDR_INTERVAL: 5 seconds] (configurable)

[ALC_EDR_SAMPLE_RATE: 2 Hz] (configurable)",Congelato,
6,Logical to Physical Mapping,="req-5256401-00805506","
	
		
			
			Logical
			
			
			Physical
			
		
		
			
			Restraints
			
			
			RCM_N
			
		
		
			
			DILCStatus_Logging
			
			
			ALCDrvInitStsDLCatC
			
		
	


 ",Congelato,
4,DADC_JLR,="chp-5256401-00381672", ,In corso,
5,="[PID-15483] Process DILC Status for Logging",="chp-5256401-00381673", ,In corso,
6,Requirement00705823,="req-5256401-00705823","DADC_JLR shall publish DILCStatus_Logging with the following encoding:


	UNDEFINED
	OFF
	ENABLED
	ACTIVE_CONTROL
	FAULT
",In corso,
6,Requirement00705824,="req-5256401-00705824","By default, DADC_JLR shall set DILCStatus_Logging to ""UNDEFINED""",In corso,
6,Requirement00705825,="req-5256401-00705825","WHILE

DILCStatus is ""Off"" OR ""NotFitted"" OR ""Disabled"" OR ""Unpermitted"" OR ""Inoperable""


THEN

DADC_JLR shall set DILCStatus_Logging to ""OFF""",In corso,
6,Requirement00705827,="req-5256401-00705827","WHILE

DILCStatus is ""Standby"" OR ""Available_Idle""


THEN

DADC_JLR shall set DILCStatus_Logging to ""ENABLED""",In corso,
6,Requirement00705829,="req-5256401-00705829","WHILE

DILCStatus is ""Speed_Adapting_Left"" OR ""Speed_Adapting_Right"" OR ""Active_Left"" OR ""Active_Right"" OR ""Aborting_Left"" OR ""Aborting_Right""


THEN

DADC_JLR shall set DILCStatus_Logging to ""ACTIVE_CONTROL""",In corso,
6,Requirement00705831,="req-5256401-00705831","WHILE

DILCStatus is ""Fault""

DADC_JLR shall set DILCStatus_Logging to ""Fault""",In corso,
6,Requirement00705832,="req-5256401-00705832","
	
		
			Logical
			Physical
		
		
			DADC_JLR
			DADSA
		
		
			DILCStatus_Logging 
			ALCDrvInitStsDLCatC
		
		
			UNDEFINED
			UNDEFINED (0)
		
		
			OFF
			OFF (1)
		
		
			ENABLED
			ENABLED (2)
		
		
			ACTIVE_CONTROL
			ACTIVE_CONTROL (3)
		
		
			FAULT
			FAULT (7)
		
	
",In corso,
5,="[PID-15487] Set DILC ROV Preconditions",="chp-5256401-00383216", ,In corso,
6,Requirement00709558,="req-5256401-00709558","WHILE DILCSetting == ""On""AND
DILCFitmentStatus == true AND
TrailerStatus == ""NotConnected"" AND
HandsOffStage == ""Stage 0"" AND
DirectionIndicatorLampStatus !== ""Hazard""
THEN
DADC_JLR shall set the SetDILCROVPrecondtions to ""Satisfied""",In corso,
