,Type,Date,Amount,Description,Labels
1876,income,2025-07-25,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1877,income,2025-07-25,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1878,income,2025-07-26,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1879,income,2025-07-26,0.08,Interest earned - Instant Access Savings,['Interessi']
1880,income,2025-07-26,1.74,To Instant Access Savings,['Investimenti&Risparmi']
1881,income,2025-07-26,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1882,income,2025-07-26,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1883,income,2025-07-26,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1884,income,2025-07-26,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1885,income,2025-07-26,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1886,income,2025-07-27,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1887,income,2025-07-27,0.08,Interest earned - Instant Access Savings,['Interessi']
1888,income,2025-07-27,2.7,To Instant Access Savings,['Investimenti&Risparmi']
1889,income,2025-07-27,1.5,To Instant Access Savings,['Investimenti&Risparmi']
1890,income,2025-07-27,2.43,To Instant Access Savings,['Investimenti&Risparmi']
1891,income,2025-07-27,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1892,income,2025-07-27,1.23,To Instant Access Savings,['Investimenti&Risparmi']
1893,income,2025-07-27,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1894,income,2025-07-27,2.88,To Instant Access Savings,['Investimenti&Risparmi']
1895,income,2025-07-28,0.07,Interest earned - Instant Access Savings,['Interessi']
1896,income,2025-07-29,0.08,Interest earned - Instant Access Savings,['Interessi']
1897,income,2025-07-29,1.8,To Instant Access Savings,['Investimenti&Risparmi']
1898,income,2025-07-29,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1899,income,2025-07-30,0.08,Interest earned - Instant Access Savings,['Interessi']
1900,income,2025-07-30,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1901,income,2025-07-30,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1902,income,2025-07-31,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1903,income,2025-07-31,0.08,Interest earned - Instant Access Savings,['Interessi']
1904,income,2025-01-08,0.07,Interest earned - Instant Access Savings,['Interessi']
1905,income,2025-01-08,20.0,To Instant Access Savings,['Investimenti&Risparmi']
1906,income,2025-01-08,2.13,To Instant Access Savings,['Investimenti&Risparmi']
1907,income,2025-01-08,0.3,To Instant Access Savings,['Investimenti&Risparmi']
1908,income,2025-01-08,0.45,To Instant Access Savings,['Investimenti&Risparmi']
1909,income,2025-01-08,1.95,To Instant Access Savings,['Investimenti&Risparmi']
1910,income,2025-01-08,2.1,To Instant Access Savings,['Investimenti&Risparmi']
1911,income,2025-01-08,0.06,To Instant Access Savings,['Investimenti&Risparmi']
1912,income,2025-02-08,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1913,income,2025-02-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1914,income,2025-02-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1915,income,2025-02-08,0.9,To Instant Access Savings,['Investimenti&Risparmi']
1916,income,2025-02-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1917,income,2025-02-08,1.2,To Instant Access Savings,['Investimenti&Risparmi']
1918,income,2025-02-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1919,income,2025-03-08,1.05,To Instant Access Savings,['Investimenti&Risparmi']
1920,income,2025-03-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1921,income,2025-03-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1922,income,2025-03-08,1.05,To Instant Access Savings,['Investimenti&Risparmi']
1923,income,2025-03-08,1.5,To Instant Access Savings,['Investimenti&Risparmi']
1924,income,2025-03-08,2.76,To Instant Access Savings,['Investimenti&Risparmi']
1925,income,2025-03-08,0.45,To Instant Access Savings,['Investimenti&Risparmi']
1926,income,2025-03-08,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1927,income,2025-03-08,0.6,To Instant Access Savings,['Investimenti&Risparmi']
1928,income,2025-04-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1929,income,2025-04-08,2.37,To Instant Access Savings,['Investimenti&Risparmi']
1930,income,2025-04-08,0.6,To Instant Access Savings,['Investimenti&Risparmi']
1931,income,2025-04-08,1.11,To Instant Access Savings,['Investimenti&Risparmi']
1932,income,2025-04-08,0.51,To Instant Access Savings,['Investimenti&Risparmi']
1933,income,2025-04-08,1.65,To Instant Access Savings,['Investimenti&Risparmi']
1934,income,2025-05-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1935,income,2025-06-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1936,income,2025-07-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1937,income,2025-07-08,0.06,To Instant Access Savings,['Investimenti&Risparmi']
1938,income,2025-07-08,1.5,To Instant Access Savings,['Investimenti&Risparmi']
1939,income,2025-08-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1940,income,2025-08-08,20.0,To Instant Access Savings,['Investimenti&Risparmi']
1941,income,2025-08-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1942,income,2025-08-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1943,income,2025-09-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1944,income,2025-09-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1945,income,2025-09-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1946,income,2025-09-08,2.13,To Instant Access Savings,['Investimenti&Risparmi']
1947,income,2025-09-08,1.5,To Instant Access Savings,['Investimenti&Risparmi']
1948,income,2025-09-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1949,income,2025-09-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1950,income,2025-09-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1951,income,2025-10-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1952,income,2025-10-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1953,income,2025-10-08,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1954,income,2025-10-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1955,income,2025-10-08,2.79,To Instant Access Savings,['Investimenti&Risparmi']
1956,income,2025-11-08,0.09,Interest earned - Instant Access Savings,['Interessi']
1957,income,2025-11-08,1.08,To Instant Access Savings,['Investimenti&Risparmi']
1958,income,2025-11-08,1.5,To Instant Access Savings,['Investimenti&Risparmi']
1959,income,2025-12-08,0.08,Interest earned - Instant Access Savings,['Interessi']
1960,income,2025-12-08,0.06,To Instant Access Savings,['Investimenti&Risparmi']
1961,income,2025-08-13,0.08,Interest earned - Instant Access Savings,['Interessi']
1962,income,2025-08-13,2.19,To Instant Access Savings,['Investimenti&Risparmi']
1963,income,2025-08-14,0.08,Interest earned - Instant Access Savings,['Interessi']
1964,income,2025-08-14,1.59,To Instant Access Savings,['Investimenti&Risparmi']
1965,income,2025-08-14,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1966,income,2025-08-14,3.0,To Instant Access Savings,['Investimenti&Risparmi']
1967,income,2025-08-14,2.4,To Instant Access Savings,['Investimenti&Risparmi']
1968,income,2025-08-14,0.3,To Instant Access Savings,['Investimenti&Risparmi']
1969,income,2025-08-15,0.09,Interest earned - Instant Access Savings,['Interessi']
1970,income,2025-08-15,1.11,To Instant Access Savings,['Investimenti&Risparmi']
1971,income,2025-08-15,20.0,To Instant Access Savings,['Investimenti&Risparmi']
1972,income,2025-08-15,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1973,income,2025-08-15,1.8,To Instant Access Savings,['Investimenti&Risparmi']
1974,income,2025-08-15,1.8,To Instant Access Savings,['Investimenti&Risparmi']
1975,income,2025-08-16,0.08,Interest earned - Instant Access Savings,['Interessi']
1976,income,2025-08-16,2.52,To Instant Access Savings,['Investimenti&Risparmi']
1977,income,2025-08-16,2.64,To Instant Access Savings,['Investimenti&Risparmi']
1978,income,2025-08-16,1.44,To Instant Access Savings,['Investimenti&Risparmi']
1979,income,2025-08-16,1.59,To Instant Access Savings,['Investimenti&Risparmi']
1980,income,2025-08-17,0.08,Interest earned - Instant Access Savings,['Interessi']
1981,income,2025-08-18,0.09,Interest earned - Instant Access Savings,['Interessi']
1982,income,2025-08-19,1.98,To Instant Access Savings,['Investimenti&Risparmi']
1983,income,2025-08-19,0.08,Interest earned - Instant Access Savings,['Interessi']
1984,income,2025-08-19,2.37,To Instant Access Savings,['Investimenti&Risparmi']
1985,income,2025-08-19,2.49,To Instant Access Savings,['Investimenti&Risparmi']
